,tfidf_lemmatized,tfidf_stemmed,word2vec_lemmatized_cbow_window2_dim100,word2vec_lemmatized_skipgram_window2_dim100,word2vec_lemmatized_cbow_window4_dim100,word2vec_lemmatized_skipgram_window4_dim100,word2vec_lemmatized_cbow_window2_dim300,word2vec_lemmatized_skipgram_window2_dim300,word2vec_lemmatized_cbow_window4_dim300,word2vec_lemmatized_skipgram_window4_dim300,word2vec_stemmed_cbow_window2_dim100,word2vec_stemmed_skipgram_window2_dim100,word2vec_stemmed_cbow_window4_dim100,word2vec_stemmed_skipgram_window4_dim100,word2vec_stemmed_cbow_window2_dim300,word2vec_stemmed_skipgram_window2_dim300,word2vec_stemmed_cbow_window4_dim300,word2vec_stemmed_skipgram_window4_dim300
tfidf_lemmatized,1.0,1.0,0.14285714285714285,0.14285714285714285,0.25,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.25,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.0,0.3333333333333333,0.14285714285714285,0.1111111111111111,0.0
tfidf_stemmed,1.0,1.0,0.14285714285714285,0.14285714285714285,0.25,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.25,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.0,0.3333333333333333,0.14285714285714285,0.1111111111111111,0.0
word2vec_lemmatized_cbow_window2_dim100,0.14285714285714285,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2,0.0,0.0,0.5,1.0,0.14285714285714285,0.0
word2vec_lemmatized_skipgram_window2_dim100,0.14285714285714285,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2,0.0,0.0,0.5,1.0,0.14285714285714285,0.0
word2vec_lemmatized_cbow_window4_dim100,0.25,0.25,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.25,0.14285714285714285,0.1111111111111111,0.0,0.6,0.3333333333333333,0.25,0.0
word2vec_lemmatized_skipgram_window4_dim100,0.14285714285714285,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2,0.0,0.0,0.5,1.0,0.14285714285714285,0.0
word2vec_lemmatized_cbow_window2_dim300,0.14285714285714285,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2,0.0,0.0,0.5,1.0,0.14285714285714285,0.0
word2vec_lemmatized_skipgram_window2_dim300,0.14285714285714285,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2,0.0,0.0,0.5,1.0,0.14285714285714285,0.0
word2vec_lemmatized_cbow_window4_dim300,0.25,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.25,0.14285714285714285,0.1111111111111111,0.0,0.6,0.3333333333333333,0.25,0.0
word2vec_lemmatized_skipgram_window4_dim300,0.14285714285714285,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2,0.0,0.0,0.5,1.0,0.14285714285714285,0.0
word2vec_stemmed_cbow_window2_dim100,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,1.0,0.14285714285714285,0.25,0.0,0.3333333333333333,0.3333333333333333,0.25,0.0
word2vec_stemmed_skipgram_window2_dim100,0.14285714285714285,0.14285714285714285,0.2,0.2,0.14285714285714285,0.2,0.2,0.2,0.14285714285714285,0.2,0.14285714285714285,1.0,0.0,0.16666666666666666,0.2,0.2,0.0,0.4
word2vec_stemmed_cbow_window4_dim100,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.25,0.0,1.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0
word2vec_stemmed_skipgram_window4_dim100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.6
word2vec_stemmed_cbow_window2_dim300,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.3333333333333333,0.2,0.14285714285714285,0.0,1.0,0.5,0.3333333333333333,0.0
word2vec_stemmed_skipgram_window2_dim300,0.14285714285714285,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2,0.0,0.0,0.5,1.0,0.14285714285714285,0.0
word2vec_stemmed_cbow_window4_dim300,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.25,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.25,0.14285714285714285,0.25,0.0,0.42857142857142855,0.0,0.3333333333333333,0.14285714285714285,1.0,0.0
word2vec_stemmed_skipgram_window4_dim300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0
