document_id,content
10_Things_I_Hate_About_You.txt,INT. STRATFORD HOUSE - NIGHT
12.txt,TONY sits on a bench talking to several people. They
127_Hours.txt,INT. WIDE. MOVING THROUGH CANYON. REALTIME.
12_and_Holding.txt,are juveniles.
12_Monkeys.txt,"ANGLE ON TV, almost mimicking JEFFREY with an ad...a BULL and a"
12_Years_a_Slave.txt,At the moment Solomon is nailing on siding. Tibeats
1492__Conquest_of_Paradise.txt,"We should kill them, Don Colon."
15_Minutes.txt,Robert steps off the stool.  Takes the phone.
17_Again.txt,few months. She deserves to be
187.txt,flips through pages of a physical science text book.
2001__A_Space_Odyssey.txt,"Okay, sweetheart. Well, I"
2012.txt,looks up from his desk.
20th_Century_Women.txt,"dance when she got sad. She         HER NYC MIRROR, SHE'S"
28_Days_Later.txt,gestures at the sofa.
30_Minutes_or_Less.txt,you? If I asked you?
42.txt,Sukeforth. As Jack struggles...
44_Inch_Chest.txt,He's a masherkist!
48_Hrs..txt,"Hey, fellas, what's happening?"
50-50.txt,Edith chimes in from across the room.
500_Days_of_Summer.txt,nothing I can do.
8MM.txt,Truman Capote.
9.txt,has attached for a handle. On his back he has slung another
Above_the_Law.txt,I could help you from here on.
Absolute_Power.txt,What can you do?
"Abyss,_The.txt","gear, clutching his microphone.  He is on the deck of a Navy support ship,"
Ace_Ventura__Pet_Detective.txt,He sees the butler.
Adaptation.txt,"and posters. The boy, in a turtle T-shirt, looks out the"
"Addams_Family,_The.txt","Oh, really?"
"Adjustment_Bureau,_The.txt",pinpointed an interception point.
"Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension,_The.txt",This bus should be in the hands of Defense.
Ad_Astra.txt,"I'm sorry, Doctor--how do you mean?"
Affliction.txt,Get the grader. Go out 29 past Toby's.
After.Life.txt,out a roll of notes. Hands over two twenties. Then he
After_School_Special.txt,"Shut up, Matt."
Agnes_of_God.txt,Agnes disappears down through the trapdoor. Martha throws her
Air.txt,"Pointer Sisters ""JUMP""."
Airplane.txt,Striker is in pilot's seat. Rumack is standing behind him.
Airplane_2__The_Sequel.txt,"No, I've been excited before."
Air_Force_One.txt,are assuming position.
Aladdin.txt,me all this time.  Just horrible.  How will I ever-
Ali.txt,"""Daddio's Jazz Patio"" is interrupted. Malcolm X has been"
Alien.txt,"Isn't ""bait"" the word you used?"
Aliens.txt,Nobody home.
Alien_3.txt,aboard that vessel.
Alien_Nation.txt,of the van.  Here he finds Kipling and Quint and the three
Alien_vs._Predator.txt,"HIROKO (CONT'D)   (O.S., on speakers)"
Alien__Resurrection.txt,They didn't impregnate you?
All_About_Eve.txt,is the guests.
All_About_Steve.txt,"moves around to the passenger side, hops up into the truck."
All_of_Us_Strangers.txt,HOLLYWOOD on an old `Top of the Pops'. They drink and get
All_the_King's_Men.txt,Willie lies on his bed. Jack finishes shaving in the bathroom
All_the_President's_Men.txt,"He comes to the ramp leading down to lower levels, hesitates."
Almost_Famous.txt,"of 16.  Her black hair is cropped short and died red, just"
Alone_in_the_Dark.txt,the gatling guns with her hand. The gun swivels accurately to
Amadeus.txt,I was at hand.
Amelia.txt,lines and SURGES toward the plane.
"American,_The.txt",107   EXT. ROAD- DAY                                              107
American_Beauty.txt,"She gets out of bed, takes his Digicam and focuses it on him."
American_Fiction.txt,"Nah. ""Fuck."""
American_Gangster.txt,out the door and around the block.
American_Graffiti.txt,Debbie comes up and watches Terry look heavenward.
American_History_X.txt,and dishes to Seth at the last minute for a bucket.
